"OPEID","Fund_Code","Academic_Statuses","Admission_Statuses"
"00000005~00306400","DSUB","RG - Regular","RG - Regular|AM - Admitted"
"00000005~00306400","PELL","RG - Regular|AP - Academic Probation","RG - Regular|AM - Admitted|PV - Provisional"
