"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00000005~00306400","PR","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PR","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","IA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","IA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PQ","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PQ","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","KS","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","KS","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","QC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","QC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","KY","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","KY","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PW","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PW","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","LA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","LA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","RI","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","RI","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ME","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ME","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SK","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SK","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MB","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MB","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MH","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MH","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SD","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","SD","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MD","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MD","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","TN","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","TN","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","TX","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","TX","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MX","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MX","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VI","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VI","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MI","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MI","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","UT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","UT","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VT","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AE","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AE","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","VA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AP","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AP","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MN","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MN","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WV","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WV","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MS","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MS","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WI","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WI","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MO","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MO","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WY","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","WY","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MT","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","YT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","YT","ONLINE","Tuition,Taxes,Misc,Resource"
